업종,신고번호,상호,시설주소(지번),시설주소(도로명),시설면적(제곱미터),최초등록일자,최근변경일자
체력단련장업,30106-1993-000001,금성헬스,서울특별시 서초구 서초동 1577-49 ,,,1993-02-10,2017-11-01
체력단련장업,30106-1995-000003,서초헬스크럽,서울특별시 서초구 반포동 746-9 2층 ,"서울특별시 서초구 사평대로 349  (반포동,2층)",,1995-11-21,
체력단련장업,30106-1996-000001,그린헬스,서울특별시 서초구 방배동 825-1 ,서울특별시 서초구 동광로 18  (방배동),,1996-01-13,
체력단련장업,30106-1997-000003,현대헬스,서울특별시 서초구 방배동 452-4 3층 ,"서울특별시 서초구 방배천로 22  (방배동,3층)",,1997-12-24,
체력단련장업,30106-1998-000002,헬스토피아,서울특별시 서초구 서초동 1302-52 (3층) ,"서울특별시 서초구 사평대로 362  (서초동,(3층))",152,1998-07-21,2011-10-10
체력단련장업,30106-2000-000001,동호헬스클럽,서울특별시 서초구 반포동 53-3 4층 ,"서울특별시 서초구 고무래로10길 17  (반포동,4층)",,2000-04-07,
체력단련장업,30106-2000-000003,그린짐,서울특별시 서초구 방배동 537-3 ,서울특별시 서초구 효령로 36  (방배동),,2000-07-18,2006-09-14
체력단련장업,30106-2001-000001,싸이버짐,서울특별시 서초구 잠원동 65-32 ,"서울특별시 서초구 잠원로 94, B1층 (잠원동, 한신빌딩)",505.06,2001-04-16,2016-05-25
체력단련장업,30106-2001-000002,한전아트센터스포츠클럽,서울특별시 서초구 서초동 1355 ,서울특별시 서초구 효령로72길 60 (서초동),395.74,2001-05-18,2015-03-06
체력단련장업,30106-2001-000004,국가대표 소유창 휘트니스,,"서울특별시 서초구 강남대로 617 (잠원동, 대양빌딩 4/5/6층)",,2001-07-06,2017-06-08
체력단련장업,30106-2001-000007,우성헬스 2,서울특별시 서초구 서초동 1624-1 지하1층 ,"서울특별시 서초구 서초중앙로 72  (서초동,지하1층)",,2001-12-28,
체력단련장업,30106-2002-000007,방배휘트니스클럽,서울특별시 서초구 방배동 795-23 2층 ,"서울특별시 서초구 동광로 69  (방배동,2층)",,2002-06-17,
체력단련장업,30106-2002-000011,제이디아이스포츠,서울특별시 서초구 서초동 1585-12 4층 ,"서울특별시 서초구 반포대로12길 10  (서초동,4층)",,2002-07-22,2005-07-18
체력단련장업,30106-2002-000013,코리아짐,서울특별시 서초구 서초동 1321-5 3층 ,"서울특별시 서초구 서운로 142-4  (서초동,3층)",,2002-08-12,
체력단련장업,30106-2002-000015,아이러브 휘트니스,서울특별시 서초구 양재동 232-0 농수산물유통공사 지하1층 ,"서울특별시 서초구 강남대로 27 (양재동,농수산물유통공사 지하1층)",,2002-10-19,2017-02-01
체력단련장업,30106-2002-000018,파워짐헬스크럽,서울특별시 서초구 서초동 1307-20 경일빌딩 7층 ,"서울특별시 서초구 서초대로77길 25  (서초동,경일빌딩 7층)",,2002-12-10,2009-07-31
체력단련장업,30106-2002-000019,코아텔휘트니스클럽,서울특별시 서초구 서초동 1330-0 지하2층 ,"서울특별시 서초구 강남대로53길 11  (서초동,지하2층)",,2002-12-30,
체력단련장업,30106-2003-000001,대한퍼스널트레이닝,서울특별시 서초구 반포동 705-6 미성빌딩4층 ,"서울특별시 서초구 사평대로55길 139  (반포동,미성빌딩4층)",,2003-03-26,2011-06-02
체력단련장업,30106-2003-000002,헬싱타운,서울특별시 서초구 양재동 1-26 성문빌딩 지1층 ,"서울특별시 서초구 남부순환로 2636 (양재동,성문빌딩 지1층)",483.58,2003-04-26,2003-09-03
체력단련장업,30106-2003-000004,듀발휘트니스,서울특별시 서초구 서초동 1671-5 서초리시온 2층 ,"서울특별시 서초구 서초중앙로22길 25  (서초동,서초리시온 2층)",,2003-06-03,2003-06-03
체력단련장업,30106-2003-000005,탑,서울특별시 서초구 서초동 1593-7 서초이오빌 지1층 ,"서울특별시 서초구 효령로53길 45  (서초동,서초이오빌 지1층)",,2003-08-26,2009-12-03
체력단련장업,30106-2003-000006,발리토탈휘트니스,서울특별시 서초구 서초동 1316-15 오르시떼빌딩 2층 ,"서울특별시 서초구 강남대로61길 23  (서초동,오르시떼빌딩 2층)",,2003-09-06,2003-09-06
체력단련장업,30106-2004-000001,아크로 운동센타,서울특별시 서초구 반포동 44-3 서호빌딩 지1층 ,"서울특별시 서초구 서초중앙로 197  (반포동,서호빌딩 지1층)",,2004-01-15,2004-01-15
체력단련장업,30106-2004-000004,방배역점 스포애니 (주)케이디헬스케어,서울특별시 서초구 방배동 909-9 6층 ,"서울특별시 서초구 방배로 81 (방배동,6층)",453.1,2004-06-11,2023-12-01
체력단련장업,30106-2004-000005,휘트니스 모션,서울특별시 서초구 방배동 812-16 3층 ,"서울특별시 서초구 방배로 205 (방배동, 3층)",,2004-08-30,2016-04-04
체력단련장업,30106-2004-000006,우성A휘트니스,서울특별시 서초구 서초동 1336 지하1층 ,서울특별시 서초구 사임당로 158 (서초동),,2004-10-21,2009-07-23
체력단련장업,30106-2004-000007,마하헬스크럽,서울특별시 서초구 방배동 451-26 2층 ,"서울특별시 서초구 방배천로2안길 23  (방배동,2층)",,2004-10-28,2004-10-28
체력단련장업,30106-2004-000009,휘트니스에프엠 교대점,서울특별시 서초구 서초동 1674-1 지1층 ,"서울특별시 서초구 서초대로 314 (서초동,지1층)",636.77,2004-11-26,2015-12-01
체력단련장업,30106-2005-000001,스피드순환운동,서울특별시 서초구 양재동 103-0 (2층) ,"서울특별시 서초구 바우뫼로 106  (양재동,(2층))",,2005-03-29,2005-03-29
체력단련장업,30106-2005-000004,트리짐,서울특별시 서초구 반포동 30-2 삼호가든상가 3층 309-1호 ,,,2005-06-29,2005-06-29
체력단련장업,30106-2005-000008,토마토휘트니스클럽,"서울특별시 서초구 잠원동 38-1 (2,3,4층) ","서울특별시 서초구 신반포로47길 30  (잠원동,(2,3,4층))",,2005-11-28,2005-11-28
체력단련장업,30106-2006-000005,플라이 짐,서울특별시 서초구 서초동 1354-5 (지하1층) ,"서울특별시 서초구 서운로 3 (서초동,(지하1층))",,2006-07-05,2024-02-28
체력단련장업,30106-2006-000006,안전지대 휘트니스,서울특별시 서초구 방배동 753-5 (지하1층) ,"서울특별시 서초구 동작대로 230 (방배동,(지하1층))",1052.69,2006-09-18,2017-06-01
체력단련장업,30106-2006-000007,우정스포츠,서울특별시 서초구 서초동 1328-11 지하1층 B101호 ,"서울특별시 서초구 강남대로 359  (서초동,지하1층 B101호)",,2006-09-29,2006-09-29
체력단련장업,30106-2007-000001,MKG 피트니스,서울특별시 서초구 서초동 1536-7 진석빌딩 지하1층 ,"서울특별시 서초구 반포대로 63 (서초동,진석빌딩 지하1층)",,2007-03-23,2022-10-12
체력단련장업,30106-2007-000006,골드헬스클럽,서울특별시 서초구 서초동 1332-4 (지하1층) ,"서울특별시 서초구 사임당로 143  (서초동,(지하1층))",,2007-09-19,2007-09-19
체력단련장업,30106-2007-000008,플레이핏 앤 필라테스,서울특별시 서초구 반포동 44-1 (지하1층) ,"서울특별시 서초구 서초중앙로 199 (반포동,(지하1층))",,2007-10-18,2015-11-01
체력단련장업,30106-2008-000002,언남문화체육센터,서울특별시 서초구 양재동 309 언남중고공공복합시설 지하중층 ,"서울특별시 서초구 동산로13길 35 (양재동,언남중고공공복합시설 지하중층)",529.56,2008-04-17,2015-04-03
체력단련장업,30106-2008-000003,메가짐&필라퀸&킹골프&펀복싱&메가핏재활아카데미,서울특별시 서초구 서초동 1603-54 (지하2층) ,"서울특별시 서초구 효령로 321 (서초동,(지하2층))",1023.83,2008-07-25,2023-11-13
체력단련장업,30106-2008-000005,소울앤드바디,"서울특별시 서초구 서초동 1697-12 ,42(2층) ","서울특별시 서초구 서초대로55길 17  (서초동,,42(2층))",,2008-10-23,2008-10-23
체력단련장업,30106-2009-000001,이루어GYM 서초점,,"서울특별시 서초구 서초대로 346 (서초동, 지하 1층 101호)",,2009-02-10,2018-07-02
체력단련장업,30106-2009-000002,갤럭시아스포츠클럽 더케이호텔점,서울특별시 서초구 양재동 202 더케이서울호텔 지하1층 ,"서울특별시 서초구 바우뫼로12길 70 (양재동, 더케이서울호텔 지하1층)",391.23,2009-04-10,2020-04-17
체력단련장업,30106-2009-000003,비나이더 방배점,서울특별시 서초구 방배동 901-1 ,"서울특별시 서초구 방배로 132, 지하1~2층 (방배동)",813.2,2009-05-14,2023-03-16
체력단련장업,30106-2009-000005,(주)더 파스칼,서울특별시 서초구 양재동 275-4 트윈타워 B동(지1층) ,"서울특별시 서초구 마방로10길 15 (양재동,트윈타워 B동(지1층))",640.7,2009-08-11,2021-11-05
체력단련장업,30106-2009-000006,스카이스포츠,서울특별시 서초구 서초동 1439-1 (지1층) ,"서울특별시 서초구 남부순환로339길 72  (서초동,(지1층))",138.75,2009-08-27,
체력단련장업,30106-2009-000008,휘트니스짐,서울특별시 서초구 서초동 1459-12 외3필지 (지하1층) ,"서울특별시 서초구 반포대로 34, 지하1층 (서초동)",403.93,2009-11-11,2013-03-04
체력단련장업,30106-2009-000009,SH메디휘트니스,서울특별시 서초구 양재동 11-17 한솔로이젠트 B01 ,"서울특별시 서초구 남부순환로 2614 (양재동, 한솔로이젠트 B01호)",630.7,2009-12-11,2012-02-29
체력단련장업,30106-2010-000002,피트니스파이브,"서울특별시 서초구 서초동 1685-8 G-five B112호, B113호 ","서울특별시 서초구 서초중앙로24길 27 (서초동, G-five B112호, B113호)",689.74,2010-04-13,2022-05-09
체력단련장업,30106-2010-000003,애플짐반포점,서울특별시 서초구 반포동 19-1 르본시티 2층 ,"서울특별시 서초구 신반포로 162 (반포동,르본시티 2층)",1272.2,2010-05-13,
체력단련장업,30106-2010-000007,휴메이크 휘트니스,서울특별시 서초구 서초동 1337-20 대륭서초타워(지2층) ,"서울특별시 서초구 강남대로 327 (서초동,대륭서초타워(지2층))",739.2,2010-07-07,2023-08-01
체력단련장업,30106-2010-000008,리스펙짐,서울특별시 서초구 서초동 1542-14 우림빌딩(지1층) ,"서울특별시 서초구 반포대로 118 (서초동, (지1층))",269.4,2010-08-06,2022-05-30
체력단련장업,30106-2010-000009,딸기짐,서울특별시 서초구 방배동 783-24 (4층) ,"서울특별시 서초구 동작대로 172 (방배동,(4층))",315.1,2010-11-11,2013-07-22
체력단련장업,30106-2011-000001,마이짐(MY GYM),서울특별시 서초구 방배동 6-9 (지1층) ,"서울특별시 서초구 방배로42길 61  (방배동,(지1층))",246.7,2011-01-12,2011-01-17
체력단련장업,30106-2011-000002,더베스트짐,서울특별시 서초구 양재동 275-2 윈드스톤오피스텔(지1층) ,"서울특별시 서초구 논현로 79 (양재동,윈드스톤오피스텔(지1층))",552.3,2011-04-11,2012-10-17
체력단련장업,30106-2011-000003,피트니스팩토리24,"서울특별시 서초구 양재동 20-28 극동빌딩 (4층,5층) ","서울특별시 서초구 강남대로 156-1, 극동빌딩  4,5층 (양재동)",293,2011-04-15,2021-08-23
체력단련장업,30106-2011-000004,NKB PT GYM,서울특별시 서초구 방배동 875-21 배양빌딩 ,"서울특별시 서초구 서초대로25길 지하 27 (방배동, 배양빌딩)",73.9,2011-06-14,2017-03-27
체력단련장업,30106-2011-000006,비컴스 피트니스,서울특별시 서초구 반포동 93-7 (3층) ,"서울특별시 서초구 서래로 50 (반포동,(3층))",194.6,2011-07-21,2012-12-05
체력단련장업,30106-2011-000007,C&S휘트니스,서울특별시 서초구 서초동 1597-4 (지1층) ,"서울특별시 서초구 사임당로 32  (서초동,(지1층))",297.2,2011-09-26,2013-07-12
체력단련장업,30106-2011-000008,어반액티브,서울특별시 서초구 방배동 909-11 (3층) ,"서울특별시 서초구 효령로31길 10 (방배동,(3층))",210.2,2011-10-27,2016-05-09
체력단련장업,30106-2011-000009,위아더 휘트니스,"서울특별시 서초구 방배동 761-6 (2,3층) ","서울특별시 서초구 방배중앙로 187 (방배동, (2,3층))",419.8,2011-11-14,2019-05-01
체력단련장업,30106-2011-000010,Finest Private Gym,서울특별시 서초구 반포동 88-5 (2층) ,"서울특별시 서초구 서래로 2 (반포동, (2층))",132.4,2011-12-02,
체력단련장업,30106-2012-000001,에이블짐 신논현역,서울특별시 서초구 반포동 748-8 ,서울특별시 서초구 사평대로 371 (반포동),743.9,2012-02-01,2021-03-31
체력단련장업,30106-2012-000002,(주)영자피트니스 이수방배,서울특별시 서초구 방배동 1823 ,서울특별시 서초구 동작대로 지하 134 (방배동),1009.8,2012-03-21,2020-08-21
체력단련장업,30106-2012-000003,the Fitness LAB,서울특별시 서초구 방배동 797-24 우림빌딩 ,"서울특별시 서초구 동광로 101, 우림빌딩 2층 (방배동)",162.93,2012-06-01,2020-06-08
체력단련장업,30106-2012-000004,벧쎌RC,서울특별시 서초구 서초동 1434-12 ,서울특별시 서초구 남부순환로337가길 33 (서초동),118.94,2012-06-04,
체력단련장업,30106-2012-000005,파인휘트니스,"서울특별시 서초구 방배동 925-3 지하1, 지하2 ","서울특별시 서초구 방배로 127 (방배동, 지하1, 지하2)",513.96,2012-06-18,2020-09-18
체력단련장업,30106-2012-000007,에이제이짐,서울특별시 서초구 방배동 425-1 세양아르비채102동 1층 ,"서울특별시 서초구 방배천로 92 (방배동, 세양아르비채102동 1층)",153.09,2012-08-10,2018-02-12
체력단련장업,30106-2012-000009,옵티멀휘트니스(optimal fitness),서울특별시 서초구 반포동 106-5 ,"서울특별시 서초구 사평대로22길 14, 2층 (반포동)",222.36,2012-09-17,
체력단련장업,30106-2012-000010,(주)그레이트짐,서울특별시 서초구 서초동 1341-7 지하1층 ,"서울특별시 서초구 남부순환로347길 101 (서초동, 지하1층)",394.5,2012-10-25,2015-06-24
체력단련장업,30106-2012-000012,드림팩토리(Dream Factory),서울특별시 서초구 잠원동 56-3 잠원연합상가 지하1층 ,"서울특별시 서초구 잠원로 148 (잠원동, 잠원연합상가 지하1층)",138.84,2012-11-14,2012-11-23
체력단련장업,30106-2012-000013,부띠끄 피트니스,서울특별시 서초구 양재동 2-12 동일빌딩 ,"서울특별시 서초구 남부순환로364길 8-15, 동일빌딩 3층 (양재동)",120.91,2012-12-28,2023-01-25
체력단련장업,30106-2012-000014,김재환짐,서울특별시 서초구 서초동 1557-11 지하1층 ,"서울특별시 서초구 반포대로28길 50, 지하1층 (서초동)",122.56,2012-12-31,2016-12-13
체력단련장업,30106-2013-000001,고마워 휘트니스,서울특별시 서초구 서초동 1699-1 지하1층 ,"서울특별시 서초구 서초중앙로 166 (서초동, 지하1층)",477.64,2013-03-27,2015-03-12
체력단련장업,30106-2013-000002,쥬빌짐,"서울특별시 서초구 서초동 1310 삼호서초동종합상가 211,212호 ","서울특별시 서초구 서운로 208 (서초동, 삼호서초동종합상가 211,212호)",58.2,2013-05-03,
체력단련장업,30106-2013-000003,티랩스튜디오 시그니처 서초점,서울특별시 서초구 서초동 1489-2 비선빌딩 ,"서울특별시 서초구 효령로 190, 비선빌딩 지하1층 (서초동)",484.05,2013-05-28,2022-02-16
체력단련장업,30106-2013-000004,G.O PT Studio,서울특별시 서초구 서초동 1507-19 송형빌딩 2층 ,"서울특별시 서초구 명달로 116 (서초동, 2층)",147.83,2013-07-12,
